Year,Month,Day,station,PromDiario,Max,Min,indice,Zona
2020,9,10,ACO,36.0,81.0,14.0,45.0,NE
2020,9,11,ACO,67.0,128.0,44.0,88.471,NE
2020,9,12,ACO,44.0,66.0,16.0,55.324,NE
2020,9,13,ACO,15.0,30.0,2.0,18.75,NE
2020,9,14,ACO,21.0,42.0,9.0,26.25,NE
2020,9,15,ACO,20.0,33.0,9.0,25.0,NE
2020,9,16,ACO,15.0,58.0,4.0,18.75,NE
2020,9,17,ACO,16.0,53.0,3.0,20.0,NE
2020,9,18,ACO,11.0,22.0,2.0,13.75,NE
2020,9,19,ACO,14.0,18.0,7.0,17.5,NE
2020,9,20,ACO,18.0,31.0,5.0,22.5,NE
2020,9,21,ACO,25.0,45.0,12.0,31.25,NE
2020,9,22,ACO,31.0,44.0,22.0,38.75,NE
2020,9,23,ACO,32.0,75.0,7.0,40.0,NE
2020,9,24,ACO,25.0,55.0,10.0,31.25,NE
2020,9,25,ACO,33.0,79.0,9.0,41.25,NE
2020,9,26,ACO,37.0,59.0,12.0,46.25,NE
2020,9,27,ACO,26.0,65.0,9.0,32.5,NE
2020,9,28,ACO,24.0,44.0,9.0,30.0,NE
2020,9,29,ACO,19.0,34.0,1.0,23.75,NE
2020,9,30,ACO,31.0,49.0,20.0,38.75,NE
2020,10,4,ACO,48.0,77.0,30.0,61.088,NE
2020,10,8,ACO,20.0,47.0,2.0,25.0,NE
2020,10,9,ACO,17.0,39.0,4.0,21.25,NE
2020,10,10,ACO,31.0,58.0,19.0,38.75,NE
2020,10,11,ACO,58.0,100.0,24.0,75.5,NE
2020,10,12,ACO,76.0,110.0,51.0,101.0,NE
2020,10,13,ACO,33.0,56.0,12.0,41.25,NE
2020,10,14,ACO,19.0,32.0,2.0,23.75,NE
2020,10,15,ACO,33.0,70.0,16.0,41.25,NE
2020,10,16,ACO,27.0,63.0,6.0,33.75,NE
2020,10,17,ACO,24.0,43.0,1.0,30.0,NE
2020,10,18,ACO,40.0,75.0,26.0,50.0,NE
2020,10,19,ACO,30.0,59.0,18.0,37.5,NE
2020,10,20,ACO,37.0,65.0,1.0,46.25,NE
2020,10,21,ACO,34.0,65.0,10.0,42.5,NE
2020,10,22,ACO,47.0,90.0,21.0,59.647,NE
2020,10,23,ACO,47.0,95.0,21.0,59.647,NE
2020,10,24,ACO,37.0,88.0,16.0,46.25,NE
2020,10,25,ACO,38.0,91.0,18.0,47.5,NE
2020,10,26,ACO,65.0,115.0,36.0,85.588,NE
2020,10,27,ACO,72.0,163.0,40.0,95.676,NE
2020,10,28,ACO,70.0,138.0,44.0,92.794,NE
2020,10,29,ACO,51.0,100.0,27.0,65.412,NE
2020,10,30,ACO,39.0,70.0,7.0,48.75,NE
2020,10,31,ACO,53.0,85.0,30.0,68.294,NE
2020,11,4,ACO,53.0,103.0,33.0,68.294,NE
2020,11,8,ACO,14.0,53.0,2.0,17.5,NE
2020,11,9,ACO,16.0,28.0,2.0,20.0,NE
2020,11,10,ACO,31.0,59.0,20.0,38.75,NE
2020,11,11,ACO,77.0,189.0,29.0,101.355,NE
2020,11,12,ACO,71.0,131.0,25.0,94.235,NE
2020,11,13,ACO,70.0,133.0,34.0,92.794,NE
2020,11,14,ACO,78.0,154.0,46.0,101.71,NE
2020,11,15,ACO,65.0,112.0,22.0,85.588,NE
2020,11,16,ACO,28.0,83.0,4.0,35.0,NE
2020,11,17,ACO,23.0,55.0,1.0,28.75,NE
2020,11,18,ACO,14.0,29.0,1.0,17.5,NE
2020,11,19,ACO,35.0,68.0,5.0,43.75,NE
2020,11,20,ACO,44.0,95.0,12.0,55.324,NE
2020,11,21,ACO,22.0,45.0,9.0,27.5,NE
2020,11,22,ACO,29.0,54.0,16.0,36.25,NE
2020,11,23,ACO,39.0,155.0,11.0,48.75,NE
2020,11,24,ACO,51.0,87.0,26.0,65.412,NE
2020,11,25,ACO,55.0,96.0,30.0,71.176,NE
