Year,Month,Day,station,PromDiario,Max,Min,indice,Zona
2019,7,13,AJM,17.0,25.0,11.0,58.298,SO
2019,7,14,AJM,24.0,53.0,9.0,68.723,SO
2019,7,15,AJM,19.0,42.0,8.0,61.277,SO
2019,7,16,AJM,16.0,29.0,4.0,56.809,SO
2019,7,17,AJM,12.0,38.0,2.0,50.0,SO
2019,7,18,AJM,17.0,52.0,1.0,58.298,SO
2019,7,19,AJM,16.0,36.0,2.0,56.809,SO
2019,7,20,AJM,20.0,40.0,7.0,62.766,SO
2019,7,21,AJM,13.0,21.0,6.0,52.34,SO
2019,7,22,AJM,18.0,34.0,6.0,59.787,SO
2019,7,23,AJM,16.0,36.0,8.0,56.809,SO
2019,7,24,AJM,15.0,42.0,4.0,55.319,SO
2019,7,25,AJM,19.0,34.0,6.0,61.277,SO
2019,7,26,AJM,15.0,32.0,1.0,55.319,SO
2019,7,27,AJM,13.0,27.0,2.0,52.34,SO
2019,7,28,AJM,10.0,19.0,5.0,41.667,SO
2019,7,29,AJM,12.0,24.0,6.0,50.0,SO
2019,7,30,AJM,18.0,35.0,7.0,59.787,SO
2019,7,31,AJM,21.0,53.0,7.0,64.255,SO
2019,8,1,AJM,20.0,43.0,5.0,62.766,SO
2019,8,3,AJM,14.0,18.0,10.0,53.83,SO
2019,8,4,AJM,30.0,50.0,13.0,77.66,SO
2019,8,5,AJM,21.0,71.0,2.0,64.255,SO
2019,8,6,AJM,14.0,27.0,4.0,53.83,SO
2019,8,7,AJM,16.0,34.0,8.0,56.809,SO
2019,8,8,AJM,9.0,23.0,2.0,37.5,SO
2019,8,9,AJM,15.0,28.0,6.0,55.319,SO
2019,8,10,AJM,8.0,15.0,4.0,33.333,SO
2019,8,11,AJM,11.0,28.0,5.0,45.833,SO
2019,8,12,AJM,27.0,51.0,10.0,73.191,SO
2019,8,13,AJM,12.0,34.0,3.0,50.0,SO
2019,8,14,AJM,12.0,39.0,6.0,50.0,SO
2019,8,15,AJM,14.0,33.0,1.0,53.83,SO
2019,8,16,AJM,12.0,31.0,6.0,50.0,SO
2019,8,17,AJM,14.0,24.0,7.0,53.83,SO
2019,8,18,AJM,19.0,42.0,6.0,61.277,SO
2019,8,19,AJM,11.0,22.0,3.0,45.833,SO
2019,8,20,AJM,10.0,19.0,4.0,41.667,SO
2019,8,21,AJM,9.0,21.0,1.0,37.5,SO
2019,8,22,AJM,14.0,21.0,8.0,53.83,SO
2019,8,23,AJM,22.0,32.0,7.0,65.745,SO
2019,8,24,AJM,15.0,20.0,6.0,55.319,SO
2019,8,25,AJM,18.0,32.0,6.0,59.787,SO
2019,8,26,AJM,20.0,36.0,9.0,62.766,SO
2019,8,27,AJM,15.0,24.0,6.0,55.319,SO
2019,8,28,AJM,18.0,39.0,8.0,59.787,SO
2019,8,29,AJM,16.0,39.0,4.0,56.809,SO
2019,8,30,AJM,13.0,31.0,5.0,52.34,SO
2019,8,31,AJM,13.0,29.0,1.0,52.34,SO
2019,9,1,AJM,24.0,47.0,3.0,68.723,SO
2019,9,3,AJM,20.0,29.0,12.0,62.766,SO
2019,9,4,AJM,17.0,32.0,9.0,58.298,SO
2019,9,5,AJM,35.0,71.0,9.0,85.106,SO
2019,9,6,AJM,11.0,21.0,3.0,45.833,SO
2019,9,7,AJM,21.0,38.0,7.0,64.255,SO
2019,9,8,AJM,21.0,44.0,8.0,64.255,SO
2019,9,9,AJM,15.0,35.0,6.0,55.319,SO
2019,9,10,AJM,9.0,23.0,1.0,37.5,SO
2019,9,11,AJM,9.0,19.0,3.0,37.5,SO
2019,9,12,AJM,14.0,23.0,1.0,53.83,SO
2019,9,13,AJM,8.0,17.0,2.0,33.333,SO
2019,9,14,AJM,6.0,14.0,1.0,25.0,SO
2019,9,15,AJM,12.0,25.0,4.0,50.0,SO
2019,9,16,AJM,21.0,36.0,4.0,64.255,SO
2019,9,17,AJM,17.0,36.0,2.0,58.298,SO
2019,9,19,AJM,10.0,25.0,3.0,41.667,SO
2019,9,20,AJM,21.0,47.0,4.0,64.255,SO
2019,9,21,AJM,16.0,38.0,5.0,56.809,SO
2019,9,22,AJM,15.0,32.0,3.0,55.319,SO
2019,9,23,AJM,17.0,34.0,6.0,58.298,SO
2019,9,24,AJM,26.0,44.0,8.0,71.702,SO
2019,9,25,AJM,26.0,46.0,9.0,71.702,SO
2019,9,26,AJM,21.0,43.0,7.0,64.255,SO
2019,9,27,AJM,14.0,31.0,5.0,53.83,SO
2019,9,28,AJM,16.0,36.0,6.0,56.809,SO
2019,9,30,AJM,6.0,16.0,1.0,25.0,SO
2019,10,1,AJM,26.0,43.0,8.0,71.702,SO
2019,10,3,AJM,24.0,33.0,17.0,68.723,SO
2019,10,4,AJM,20.0,37.0,7.0,62.766,SO
2019,10,5,AJM,31.0,78.0,8.0,79.149,SO
2019,10,6,AJM,11.0,23.0,2.0,45.833,SO
2019,10,7,AJM,15.0,39.0,2.0,55.319,SO
2019,10,8,AJM,8.0,17.0,1.0,33.333,SO
2019,10,9,AJM,18.0,47.0,2.0,59.787,SO
2019,10,10,AJM,15.0,38.0,6.0,55.319,SO
2019,10,11,AJM,16.0,26.0,7.0,56.809,SO
2019,10,12,AJM,22.0,44.0,11.0,65.745,SO
2019,10,13,AJM,17.0,33.0,4.0,58.298,SO
2019,10,14,AJM,13.0,31.0,4.0,52.34,SO
2019,10,15,AJM,17.0,40.0,5.0,58.298,SO
2019,10,16,AJM,7.0,14.0,1.0,29.167,SO
2019,10,17,AJM,8.0,16.0,1.0,33.333,SO
2019,10,18,AJM,8.0,22.0,3.0,33.333,SO
2019,10,19,AJM,7.0,16.0,2.0,29.167,SO
2019,10,21,AJM,9.0,18.0,1.0,37.5,SO
2019,10,22,AJM,15.0,25.0,5.0,55.319,SO
2019,10,23,AJM,15.0,38.0,6.0,55.319,SO
2019,10,24,AJM,16.0,46.0,3.0,56.809,SO
2019,10,25,AJM,24.0,57.0,5.0,68.723,SO
2019,10,26,AJM,12.0,28.0,3.0,50.0,SO
2019,10,27,AJM,25.0,42.0,12.0,70.213,SO
2019,10,28,AJM,29.0,45.0,11.0,76.17,SO
2019,10,29,AJM,23.0,38.0,4.0,67.234,SO
2019,10,30,AJM,25.0,53.0,2.0,70.213,SO
2019,10,31,AJM,11.0,21.0,2.0,45.833,SO
2019,11,1,AJM,20.0,34.0,13.0,62.766,SO
2019,11,3,AJM,19.0,24.0,14.0,61.277,SO
2019,11,4,AJM,20.0,31.0,13.0,62.766,SO
2019,11,5,AJM,68.0,103.0,24.0,122.455,SO
2019,11,6,AJM,9.0,15.0,1.0,37.5,SO
2019,11,7,AJM,22.0,34.0,3.0,65.745,SO
2019,11,8,AJM,12.0,38.0,2.0,50.0,SO
2019,11,9,AJM,13.0,34.0,3.0,52.34,SO
2019,11,10,AJM,16.0,32.0,6.0,56.809,SO
2019,11,11,AJM,18.0,28.0,10.0,59.787,SO
2019,11,12,AJM,32.0,77.0,14.0,80.638,SO
2019,11,14,AJM,9.0,21.0,1.0,37.5,SO
2019,11,15,AJM,23.0,45.0,7.0,67.234,SO
2019,11,16,AJM,27.0,47.0,11.0,73.191,SO
2019,11,17,AJM,17.0,28.0,6.0,58.298,SO
2019,11,18,AJM,14.0,28.0,3.0,53.83,SO
2019,11,19,AJM,27.0,59.0,11.0,73.191,SO
2019,11,20,AJM,27.0,45.0,12.0,73.191,SO
2019,11,21,AJM,26.0,39.0,15.0,71.702,SO
2019,11,22,AJM,16.0,32.0,4.0,56.809,SO
2019,11,23,AJM,16.0,38.0,3.0,56.809,SO
2019,11,24,AJM,23.0,52.0,8.0,67.234,SO
2019,11,25,AJM,19.0,29.0,7.0,61.277,SO
2019,11,26,AJM,16.0,24.0,5.0,56.809,SO
2019,11,27,AJM,21.0,28.0,11.0,64.255,SO
2019,11,28,AJM,12.0,37.0,1.0,50.0,SO
2019,11,29,AJM,16.0,34.0,1.0,56.809,SO
2019,11,30,AJM,23.0,35.0,15.0,67.234,SO
2019,12,1,AJM,28.0,43.0,17.0,74.681,SO
2019,12,3,AJM,14.0,41.0,2.0,53.83,SO
2019,12,4,AJM,16.0,26.0,8.0,56.809,SO
2019,12,5,AJM,66.0,90.0,30.0,120.581,SO
2019,12,6,AJM,16.0,31.0,7.0,56.809,SO
2019,12,7,AJM,18.0,30.0,8.0,59.787,SO
2019,12,9,AJM,12.0,29.0,1.0,50.0,SO
2019,12,10,AJM,11.0,26.0,4.0,45.833,SO
2019,12,11,AJM,12.0,30.0,4.0,50.0,SO
2019,12,12,AJM,23.0,36.0,16.0,67.234,SO
2019,12,13,AJM,14.0,33.0,7.0,53.83,SO
2019,12,14,AJM,17.0,32.0,6.0,58.298,SO
2019,12,15,AJM,23.0,37.0,11.0,67.234,SO
2019,12,16,AJM,16.0,27.0,4.0,56.809,SO
2019,12,17,AJM,20.0,43.0,11.0,62.766,SO
2019,12,18,AJM,42.0,69.0,20.0,95.532,SO
2019,12,19,AJM,47.0,65.0,31.0,102.78,SO
2019,12,20,AJM,42.0,76.0,22.0,95.532,SO
2019,12,21,AJM,33.0,64.0,8.0,82.128,SO
2019,12,22,AJM,34.0,45.0,18.0,83.617,SO
2019,12,23,AJM,31.0,58.0,13.0,79.149,SO
2019,12,24,AJM,19.0,39.0,1.0,61.277,SO
2019,12,25,AJM,17.0,33.0,7.0,58.298,SO
2019,12,26,AJM,18.0,36.0,4.0,59.787,SO
2019,12,27,AJM,29.0,54.0,19.0,76.17,SO
2019,12,28,AJM,15.0,23.0,4.0,55.319,SO
2019,12,29,AJM,14.0,26.0,2.0,53.83,SO
2019,12,31,AJM,13.0,21.0,3.0,52.34,SO
2020,1,3,AJM,18.0,23.0,13.0,59.787,SO
2020,1,4,AJM,22.0,31.0,17.0,65.745,SO
2020,1,5,AJM,12.0,24.0,3.0,50.0,SO
2020,1,18,AJM,15.0,31.0,5.0,55.319,SO
2020,1,19,AJM,9.0,17.0,5.0,37.5,SO
2020,1,20,AJM,13.0,21.0,6.0,52.34,SO
2020,1,21,AJM,22.0,45.0,11.0,65.745,SO
2020,1,22,AJM,16.0,26.0,7.0,56.809,SO
2020,1,23,AJM,13.0,21.0,4.0,52.34,SO
2020,1,24,AJM,14.0,22.0,6.0,53.83,SO
2020,1,25,AJM,14.0,27.0,6.0,53.83,SO
2020,1,26,AJM,10.0,16.0,4.0,41.667,SO
2020,1,27,AJM,9.0,27.0,1.0,37.5,SO
2020,1,28,AJM,6.0,16.0,1.0,25.0,SO
2020,1,29,AJM,10.0,32.0,2.0,41.667,SO
2020,1,30,AJM,5.0,17.0,1.0,20.833,SO
2020,2,3,AJM,16.0,25.0,8.0,56.809,SO
2020,2,5,AJM,15.0,37.0,6.0,55.319,SO
2020,3,3,AJM,9.0,13.0,5.0,37.5,SO
2020,3,5,AJM,14.0,26.0,7.0,53.83,SO
2020,3,13,AJM,17.0,31.0,9.0,58.298,SO
2020,3,14,AJM,16.0,35.0,3.0,56.809,SO
2020,3,15,AJM,16.0,28.0,7.0,56.809,SO
2020,3,16,AJM,16.0,27.0,9.0,56.809,SO
2020,3,17,AJM,18.0,28.0,6.0,59.787,SO
2020,3,18,AJM,23.0,30.0,14.0,67.234,SO
2020,3,19,AJM,14.0,26.0,7.0,53.83,SO
2020,3,20,AJM,16.0,33.0,4.0,56.809,SO
2020,3,21,AJM,23.0,33.0,16.0,67.234,SO
2020,3,22,AJM,16.0,27.0,5.0,56.809,SO
2020,3,23,AJM,14.0,28.0,4.0,53.83,SO
2020,3,24,AJM,14.0,23.0,5.0,53.83,SO
2020,3,25,AJM,19.0,47.0,3.0,61.277,SO
2020,3,26,AJM,23.0,45.0,8.0,67.234,SO
2020,3,27,AJM,18.0,49.0,5.0,59.787,SO
2020,3,28,AJM,20.0,42.0,4.0,62.766,SO
2020,3,29,AJM,23.0,36.0,12.0,67.234,SO
2020,3,30,AJM,26.0,46.0,16.0,71.702,SO
2020,3,31,AJM,15.0,26.0,7.0,55.319,SO
2020,4,1,AJM,27.0,67.0,6.0,73.191,SO
2020,4,3,AJM,10.0,15.0,5.0,41.667,SO
2020,4,5,AJM,11.0,20.0,4.0,45.833,SO
2020,4,14,AJM,25.0,50.0,16.0,70.213,SO
2020,4,15,AJM,32.0,44.0,23.0,80.638,SO
2020,4,16,AJM,33.0,64.0,21.0,82.128,SO
2020,4,17,AJM,32.0,68.0,18.0,80.638,SO
2020,4,18,AJM,30.0,44.0,20.0,77.66,SO
2020,4,22,AJM,21.0,38.0,9.0,64.255,SO
2020,4,23,AJM,19.0,31.0,10.0,61.277,SO
2020,4,24,AJM,25.0,32.0,17.0,70.213,SO
2020,4,25,AJM,21.0,35.0,16.0,64.255,SO
2020,4,26,AJM,18.0,29.0,8.0,59.787,SO
2020,4,27,AJM,10.0,18.0,3.0,41.667,SO
2020,4,28,AJM,15.0,27.0,7.0,55.319,SO
2020,4,29,AJM,11.0,19.0,7.0,45.833,SO
2020,4,30,AJM,12.0,22.0,3.0,50.0,SO
2020,5,1,AJM,19.0,33.0,11.0,61.277,SO
2020,5,3,AJM,22.0,47.0,10.0,65.745,SO
2020,6,1,AJM,29.0,41.0,17.0,76.17,SO
2020,6,3,AJM,42.0,78.0,17.0,95.532,SO
2020,7,1,AJM,14.0,22.0,3.0,53.83,SO
