FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,CUA,CUT,FAC,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
16/02/2018,17,21,-99,24,40,11,-99,-99,-99,-99,21,-99,43,30,22,-99,-99,-99,-99,-99,25,-99,59,9,-99,35
16/02/2018,18,19,-99,27,31,19,-99,-99,-99,-99,-99,-99,32,40,27,-99,-99,-99,-99,-99,19,-99,47,22,-99,33
16/02/2018,19,18,-99,21,25,19,-99,-99,-99,-99,-99,-99,8,25,21,-99,-99,-99,-99,-99,28,-99,35,18,-99,25
16/02/2018,20,20,-99,15,23,21,-99,-99,-99,-99,-99,-99,-99,18,16,-99,-99,-99,-99,-99,29,-99,23,24,-99,24
16/02/2018,21,23,-99,18,20,18,-99,-99,-99,-99,-99,-99,-99,12,18,-99,-99,-99,-99,-99,29,-99,18,28,-99,25
16/02/2018,22,25,-99,21,18,25,-99,-99,-99,-99,26,-99,-99,19,22,-99,-99,-99,-99,29,32,-99,-99,33,-99,25
16/02/2018,23,17,-99,20,22,29,-99,-99,-99,-99,25,-99,24,21,21,-99,-99,-99,-99,22,25,-99,29,34,-99,17
16/02/2018,24,14,-99,19,24,28,-99,-99,-99,-99,26,-99,15,28,22,-99,-99,-99,-99,22,18,-99,24,37,-99,14
17/02/2018,1,15,-99,20,27,27,-99,-99,-99,-99,34,-99,12,35,23,-99,-99,-99,-99,12,20,-99,29,37,-99,24
17/02/2018,2,18,-99,18,27,20,-99,-99,-99,-99,32,-99,10,37,20,-99,-99,-99,-99,28,13,-99,32,37,-99,21
17/02/2018,3,10,-99,22,23,19,-99,-99,-99,-99,30,-99,9,47,19,-99,-99,-99,-99,36,16,-99,34,40,-99,33
17/02/2018,4,11,-99,29,28,16,-99,-99,-99,-99,30,-99,10,30,20,-99,-99,-99,-99,38,16,-99,31,36,-99,38
17/02/2018,5,18,-99,23,24,21,-99,-99,-99,-99,31,-99,11,31,18,-99,-99,-99,-99,33,11,-99,22,40,-99,38
17/02/2018,6,15,-99,26,27,16,-99,-99,-99,-99,30,-99,9,29,15,-99,-99,-99,-99,71,15,-99,23,40,-99,61
17/02/2018,7,19,-99,26,30,19,-99,-99,-99,-99,33,-99,7,39,25,-99,-99,-99,-99,42,14,-99,24,34,-99,44
17/02/2018,8,21,-99,26,41,20,-99,-99,-99,-99,34,-99,8,31,30,-99,-99,-99,-99,40,18,-99,31,29,-99,59
17/02/2018,9,23,-99,26,41,18,-99,-99,-99,-99,48,-99,10,33,33,-99,-99,-99,-99,39,23,-99,33,21,-99,66
